year,team_id,team,conference,expected_wins,total_games,total_wins,total_losses,total_ties,total_conference_games,total_conference_wins,total_conference_losses,total_conference_ties,total_home_games,total_home_wins,total__home_losses,total__home_ties,total_away_games,total_away_wins,total_away_losses,total_away_ties
1916,2483,Oregon,Pacific,0.0,8,7,1,0,3,2,1,0,3,3,0,0,4,3,1,0
1917,2483,Oregon,Pacific,0.0,7,4,3,0,3,1,2,0,3,3,0,0,4,1,3,0
1918,2483,Oregon,Pacific,0.0,6,4,2,0,3,2,1,0,3,2,1,0,3,2,1,0
1919,2483,Oregon,Pacific,0.0,7,5,2,0,3,2,1,0,4,3,1,0,2,2,0,0
1920,2483,Oregon,Pacific,0.0,6,4,2,0,3,2,1,0,4,4,0,0,2,0,2,0
1921,2483,Oregon,Pacific,0.0,9,7,2,0,3,1,2,0,4,4,0,0,5,3,2,0
1922,2483,Oregon,Pacific,0.0,8,7,1,0,4,4,0,0,5,5,0,0,3,2,1,0
1923,2483,Oregon,Pacific,0.0,8,4,4,0,5,1,4,0,5,3,2,0,3,1,2,0
1924,2483,Oregon,Pacific,0.0,9,6,3,0,5,2,3,0,5,5,0,0,4,1,3,0
1925,2483,Oregon,Pacific,0.0,7,1,6,0,5,0,5,0,3,0,3,0,4,1,3,0
1926,2483,Oregon,Pacific,0.0,7,2,5,0,5,1,4,0,2,0,2,0,5,2,3,0
1927,2483,Oregon,Pacific,0.0,7,2,5,0,5,0,5,0,4,2,2,0,3,0,3,0
1928,2483,Oregon,Pacific,0.0,11,9,2,0,6,4,2,0,6,5,1,0,5,4,1,0
1929,2483,Oregon,Pacific,0.0,10,7,3,0,5,4,1,0,6,6,0,0,4,1,3,0
1930,2483,Oregon,Pacific,0.0,9,7,2,0,4,3,1,0,7,7,0,0,2,0,2,0
1931,2483,Oregon,Pacific,0.0,10,7,3,0,5,3,2,0,4,4,0,0,6,3,3,0
1932,2483,Oregon,Pacific,0.0,10,6,4,0,5,2,3,0,4,3,1,0,6,3,3,0
1933,2483,Oregon,Pacific,0.0,10,9,1,0,5,4,1,0,5,5,0,0,5,4,1,0
1934,2483,Oregon,Pacific,0.0,10,6,4,0,6,4,2,0,5,4,1,0,5,2,3,0
1935,2483,Oregon,Pacific,0.0,9,6,3,0,5,3,2,0,5,4,1,0,4,2,2,0
1936,2483,Oregon,Pacific,0.0,9,3,6,0,8,2,6,0,5,3,2,0,4,0,4,0
1937,2483,Oregon,Pacific,0.0,10,4,6,0,7,2,5,0,4,2,2,0,6,2,4,0
1938,2483,Oregon,Pacific,0.0,9,4,5,0,8,4,4,0,4,3,1,0,5,1,4,0
1939,2483,Oregon,Pacific,0.0,8,4,4,0,7,4,3,0,5,3,2,0,3,1,2,0
1940,2483,Oregon,Pacific,0.0,9,5,4,0,8,4,4,0,5,4,1,0,4,1,3,0
1941,2483,Oregon,Pacific,0.0,10,5,5,0,8,4,4,0,5,3,2,0,5,2,3,0
1942,2483,Oregon,Pacific,0.0,8,2,6,0,7,2,5,0,4,2,2,0,4,0,4,0
1945,2483,Oregon,Pacific,0.0,9,3,6,0,9,3,6,0,4,2,2,0,5,1,4,0
1946,2483,Oregon,Pacific,0.0,9,4,5,0,8,3,5,0,3,2,1,0,6,2,4,0
1947,2483,Oregon,Pacific,0.0,10,7,3,0,6,5,1,0,7,5,2,0,3,2,1,0
1948,2483,Oregon,Pacific,0.0,11,9,2,0,7,7,0,0,4,4,0,0,6,5,1,0
1949,2483,Oregon,Pacific,0.0,10,4,6,0,7,2,5,0,4,2,2,0,6,2,4,0
1950,2483,Oregon,Pacific,0.0,10,1,9,0,7,0,7,0,4,1,3,0,6,0,6,0
1951,2483,Oregon,Pacific,0.0,10,2,8,0,7,1,6,0,5,2,3,0,5,0,5,0
1952,2483,Oregon,Pacific,0.0,10,2,8,0,7,2,5,0,4,0,4,0,6,2,4,0
1953,2483,Oregon,Pacific,0.0,10,5,5,0,8,3,5,0,7,4,3,0,3,1,2,0
1954,2483,Oregon,Pacific,0.0,10,6,4,0,8,5,3,0,5,2,3,0,5,4,1,0
1955,2483,Oregon,Pacific,0.0,10,6,4,0,7,4,3,0,5,3,2,0,5,3,2,0
1956,2483,Oregon,Pacific,0.0,10,5,5,0,8,4,4,0,4,3,1,0,6,2,4,0
1957,2483,Oregon,Pacific,0.0,11,7,4,0,8,6,2,0,6,3,3,0,4,4,0,0
1958,2483,Oregon,Pacific,0.0,10,4,6,0,8,4,4,0,4,3,1,0,6,1,5,0
1959,2483,Oregon,FBS Independents,0.0,10,8,2,0,6,5,1,0,6,4,2,0,4,4,0,0
1960,2483,Oregon,FBS Independents,0.0,11,8,3,0,5,4,1,0,6,6,0,0,4,2,2,0
1961,2483,Oregon,FBS Independents,0.0,10,4,6,0,5,2,3,0,5,3,2,0,5,1,4,0
1962,2483,Oregon,FBS Independents,0.0,10,7,3,0,3,2,1,0,5,5,0,0,5,2,3,0
1963,2483,Oregon,FBS Independents,0.0,11,8,3,0,4,2,2,0,6,3,3,0,4,4,0,0
1964,2483,Oregon,AAWU,0.0,10,7,3,0,4,1,3,0,4,3,1,0,6,4,2,0
1965,2483,Oregon,AAWU,0.0,10,4,6,0,5,0,5,0,5,2,3,0,5,2,3,0
1966,2483,Oregon,AAWU,0.0,10,3,7,0,4,1,3,0,4,1,3,0,6,2,4,0
1967,2483,Oregon,AAWU,0.0,10,2,8,0,6,1,5,0,5,1,4,0,5,1,4,0
1968,2483,Oregon,Pac-8,0.0,10,4,6,0,6,2,4,0,5,3,2,0,5,1,4,0
1969,2483,Oregon,Pac-8,0.0,11,5,6,0,5,2,3,0,5,2,3,0,6,3,3,0
1970,2483,Oregon,Pac-8,0.0,11,7,4,0,7,4,3,0,7,6,1,0,4,1,3,0
1971,2483,Oregon,Pac-8,0.0,11,5,6,0,6,2,4,0,5,3,2,0,6,2,4,0
1972,2483,Oregon,Pac-8,0.0,11,4,7,0,7,2,5,0,5,3,2,0,6,1,5,0
1973,2483,Oregon,Pac-8,0.0,11,2,9,0,7,2,5,0,6,2,4,0,5,0,5,0
1974,2483,Oregon,Pac-8,0.0,11,2,9,0,7,0,7,0,4,1,3,0,7,1,6,0
1975,2483,Oregon,Pac-8,0.0,11,3,8,0,7,2,5,0,6,2,4,0,5,1,4,0
1976,2483,Oregon,Pac-8,0.0,11,4,7,0,7,1,6,0,5,2,3,0,6,2,4,0
1977,2483,Oregon,Pac-8,0.0,11,2,9,0,7,1,6,0,5,1,4,0,6,1,5,0
1978,2483,Oregon,Pac-10,0.0,11,2,9,0,7,2,5,0,5,1,4,0,6,1,5,0
1979,2483,Oregon,Pac-10,0.0,11,6,5,0,7,4,3,0,5,3,2,0,6,3,3,0
1980,2483,Oregon,Pac-10,0.0,11,6,5,0,8,4,4,0,4,3,1,0,7,3,4,0
1981,2483,Oregon,Pac-10,0.0,11,2,9,0,7,1,6,0,6,2,4,0,5,0,5,0
1982,2483,Oregon,Pac-10,0.0,11,2,9,0,8,2,6,0,5,1,4,0,6,1,5,0
1983,2483,Oregon,Pac-10,0.0,11,4,7,0,7,3,4,0,5,2,3,0,6,2,4,0
1984,2483,Oregon,Pac-10,0.0,11,6,5,0,8,3,5,0,6,3,3,0,5,3,2,0
1985,2483,Oregon,Pac-10,0.0,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1986,2483,Oregon,Pac-10,0.0,11,5,6,0,8,3,5,0,5,2,3,0,6,3,3,0
1987,2483,Oregon,Pac-10,0.0,11,6,5,0,8,4,4,0,5,4,1,0,6,2,4,0
1988,2483,Oregon,Pac-10,0.0,12,6,6,0,8,3,5,0,6,4,2,0,6,2,4,0
1989,2483,Oregon,Pac-10,0.0,12,8,4,0,8,5,3,0,5,4,1,0,6,3,3,0
1990,2483,Oregon,Pac-10,0.0,12,8,4,0,7,4,3,0,7,7,0,0,4,1,3,0
1991,2483,Oregon,Pac-10,0.0,11,3,8,0,8,1,7,0,5,2,3,0,6,1,5,0
1992,2483,Oregon,Pac-10,0.0,12,6,6,0,8,4,4,0,7,4,3,0,4,2,2,0
1993,2483,Oregon,Pac-10,0.0,11,5,6,0,8,2,6,0,5,2,3,0,6,3,3,0
1994,2483,Oregon,Pac-10,0.0,13,9,4,0,8,7,1,0,7,6,1,0,5,3,2,0
1995,2483,Oregon,Pac-10,0.0,12,9,3,0,8,6,2,0,6,4,2,0,5,5,0,0
1996,2483,Oregon,Pac-10,0.0,11,6,5,0,8,3,5,0,6,4,2,0,5,2,3,0
1997,2483,Oregon,Pac-10,0.0,12,7,5,0,8,3,5,0,6,4,2,0,5,2,3,0
1998,2483,Oregon,Pac-10,0.0,12,8,4,0,8,5,3,0,6,6,0,0,5,2,3,0
1999,2483,Oregon,Pac-10,0.0,12,9,3,0,8,6,2,0,6,6,0,0,5,2,3,0
2000,2483,Oregon,Pac-10,0.0,12,10,2,0,8,7,1,0,6,6,0,0,5,3,2,0
2001,2483,Oregon,Pac-10,0.0,12,11,1,0,10,9,1,0,7,6,1,0,5,5,0,0
2002,2483,Oregon,Pac-10,0.0,13,7,6,0,9,3,6,0,8,5,3,0,5,2,3,0
2003,2483,Oregon,Pac-10,0.0,13,8,5,0,11,6,5,0,6,5,1,0,7,3,4,0
2004,2483,Oregon,Pac-10,0.0,11,5,6,0,9,4,5,0,6,3,3,0,5,2,3,0
2005,2483,Oregon,Pac-10,0.0,12,10,2,0,8,7,1,0,6,5,1,0,6,5,1,0
2006,2483,Oregon,Pac-10,0.0,13,7,6,0,10,4,6,0,7,5,2,0,6,2,4,0
2007,2483,Oregon,Pac-10,0.0,13,9,4,0,10,6,4,0,8,6,2,0,5,3,2,0
2008,2483,Oregon,Pac-10,0.0,13,10,3,0,10,8,2,0,6,5,1,0,6,4,2,0
2009,2483,Oregon,Pac-10,0.0,13,10,3,0,12,10,2,0,7,7,0,0,5,3,2,0
2010,2483,Oregon,Pac-10,9.3,13,12,1,0,10,10,0,0,6,6,0,0,6,6,0,0
2011,2483,Oregon,Pac-12,11.4,14,12,2,0,10,9,1,0,8,7,1,0,4,4,0,0
2012,2483,Oregon,Pac-12,8.5,13,12,1,0,9,8,1,0,7,6,1,0,5,5,0,0
2013,2483,Oregon,Pac-12,9.4,13,11,2,0,9,7,2,0,7,7,0,0,5,3,2,0
2014,2483,Oregon,Pac-12,12.5,15,13,2,0,10,9,1,0,7,6,1,0,5,5,0,0
2015,2483,Oregon,Pac-12,8.2,13,9,4,0,9,7,2,0,7,5,2,0,5,4,1,0
2016,2483,Oregon,Pac-12,4.4,12,4,8,0,9,2,7,0,6,3,3,0,6,1,5,0
2017,2483,Oregon,Pac-12,7.4,13,7,6,0,9,4,5,0,7,6,1,0,5,1,4,0
2018,2483,Oregon,Pac-12,7.5,13,9,4,0,9,5,4,0,7,6,1,0,5,2,3,0
2019,2483,Oregon,Pac-12,11.3,14,12,2,0,10,9,1,0,7,7,0,0,4,3,1,0
2020,2483,Oregon,Pac-12,5.0,7,4,3,0,6,4,2,0,2,2,0,0,4,2,2,0
2021,2483,Oregon,Pac-12,9.8,14,10,4,0,10,7,3,0,7,7,0,0,5,3,2,0
2022,2483,Oregon,Pac-12,10.5,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0
2023,2483,Oregon,Pac-12,7.3,8,7,1,0,5,4,1,0,4,4,0,0,4,3,1,0
